id,name,category,sex,palme dor,goldener bär,leone doro,felix,pardo doro,year,nationality,funding,korrigiert
Sur,sur ladamant,1,99,99,1,99,2,99,2023,frajap,1,
celo,celine loiseau,2,1,99,99,99,99,99,99,99,99,
gisa,gilles sacuto,2,2,99,99,99,99,99,99,99,99,
mipo,milena poylo,2,1,99,99,99,99,99,99,99,99,
noha,norio hatano,2,2,99,99,99,99,99,99,99,99,
TsPr,ts production,3,99,99,99,99,99,99,99,fra,99,
Lo,longride,3,99,99,99,99,99,99,99,jap,99,
FiPaRe,film paris region,4,99,99,99,99,99,99,99,fra,99,
Tri,triangle of sadness,1,99,1,99,99,1,99,2022,dändeufraschd,1,x
EsFi,essential filmproduktion,3,99,99,99,99,99,99,99,deu,99,
PlPr,plattform produktion,3,99,99,99,99,99,99,99,schd,99,
CoOf,coproduction office,3,99,99,99,99,99,99,99,deufra,99,
SvTeAb,sveriges television ab,3,99,99,99,99,99,99,99,schd,99,
ArFrCi,arte france cinema,3,99,99,99,99,99,99,99,fra,99,
NoFi,nordisk film,3,99,99,99,99,99,99,99,dännorschd,99,
He,heretic,3,99,99,99,99,99,99,99,gri,99,
BoCaFiSa,bord cadre film sars,3,99,99,99,99,99,99,99,schz,99,
SoFi,sovereign films,3,99,99,99,99,99,99,99,bri,99,
SoPaDePr,societe parisienne de production ,3,99,99,99,99,99,99,99,fra,99,
Fi,filmförderungsanstalt,4,99,99,99,99,99,99,99,deu,99,
GrFiCe,greek film centre,4,99,99,99,99,99,99,99,gri,99,
MeBe,medienboard berlin-brandenburg,4,99,99,99,99,99,99,99,deu,99,
FiIVä,film i väst,4,99,99,99,99,99,99,99,schd,99,
DeDaFi,det danske filminstitut,4,99,99,99,99,99,99,99,dän,99,
BrFiIn,british film institute,4,99,99,99,99,99,99,99,bri,99,
SvFi,svenska filminstitutet,4,99,99,99,99,99,99,99,schd,99,
CrEuMe,creative europe media,4,99,99,99,99,99,99,99,eur,99,
Eu,eurimages,4,99,99,99,99,99,99,99,eur,99,
phbo,philippe bober,2,2,99,99,99,99,99,99,99,99,
erhe,erik hemmendorff,2,2,99,99,99,99,99,99,99,99,
clkö,clemens köstlin ,2,2,99,99,99,99,99,99,99,99,
Quo,quo vadis aida,1,99,99,99,99,1,99,2021,bos,1,
De,deblokada,3,99,99,99,99,99,99,99,bos,99,
Co99Fi,coop 99 filmproduktion,3,99,99,99,99,99,99,99,öst,99,
DiCu,digital cube,3,99,99,99,99,99,99,99,rom,99,
N2En,n279 entertainment,3,99,99,99,99,99,99,99,nie,99,
RaFiPr,razor film produktion,3,99,99,99,99,99,99,99,deu,99,
ExEm,extreme emotions,3,99,99,99,99,99,99,99,pol,99,
InPr,indie prod,3,99,99,99,99,99,99,99,fra,99,
ToAs,tordenfilm as,3,99,99,99,99,99,99,99,nor,99,
OrFi,orf film-fernsehabkommen,4,99,99,99,99,99,99,99,öst,99,
ÖsFi,österreichisches filminstitut,4,99,99,99,99,99,99,99,öst,99,
PoFi,polnisches filminstitut,4,99,99,99,99,99,99,99,pol,99,
jazb,jasmila zbanic,2,1,99,99,99,99,99,99,99,99,
daib,damir ibrahimovich,2,2,99,99,99,99,99,99,99,99,
Ano,another round druk,1,99,99,99,99,1,99,2020,dän,1,
TvDe,tv2 denmark,4,99,99,99,99,99,99,99,dän,99,
NeFiFu,netherland film funds,4,99,99,99,99,99,99,99,nie,99,
SwFiIn,swedish film institute,4,99,99,99,99,99,99,99,schd,99,
NeFiPrIn,netherland film production incentive,4,99,99,99,99,99,99,99,nie,99,
kadi,kasper dissing,2,99,99,99,99,99,99,99,99,99,
sijo,sisse graum jorgensen,1,99,99,99,99,99,99,99,99,99,
Alc,Alcarras,1,99,99,1,99,2,99,2022,spaita,1,
maza,maria zamora,2,1,99,99,99,99,99,99,99,99,
stsc,stefan schmitz,2,2,99,99,99,99,99,99,99,99,
tofo,tono folguera,2,2,99,99,99,99,99,99,99,99,
semo,sergi moreno,2,2,99,99,99,99,99,99,99,99,
gipo,giovanni pompili,2,2,99,99,99,99,99,99,99,99,
ElFi,elastica films,3,99,99,99,99,99,99,99,spa,99,
Av,avalon,3,99,99,99,99,99,99,99,spa,99,
KiPr,kino produzioni,3,99,99,99,99,99,99,99,ita,99,
ViFi,vilaut films,3,99,99,99,99,99,99,99,spa,99,
Bab,babardeala cu bucluc sau porno balamuc,1,99,99,1,99,99,99,2021,rumluxkrotsc,1,
adso,ada solomon,2,1,99,99,99,99,99,99,99,99,
path,paul thiltges,2,2,99,99,99,99,99,99,99,99,
adch,adrien chef,2,2,99,99,99,99,99,99,99,99,
jiko,jiri konecny,2,2,99,99,99,99,99,99,99,99,
anti,ankica juric tilic,2,1,99,99,99,99,99,99,99,99,
En,endorfilm,3,99,99,99,99,99,99,99,tsc,99,
Ki,kinorama,3,99,99,99,99,99,99,99,kro,99,
MiFi,micro film,3,99,99,99,99,99,99,99,rum,99,
PaThDi,paul thiltges distributions,3,99,99,99,99,99,99,99,lux,99,
FiFuLu,film fund luxembourg,4,99,99,99,99,99,99,99,lux,99,
CzFiFu,czech film fund,4,99,99,99,99,99,99,99,tsc,99,
CrAuCe,croatian audiovisual centre,4,99,99,99,99,99,99,99,kro,99,
She,sheytan vojud nadarad,1,99,99,1,99,99,99,2020,deutscira,1,
mora,mohammad rasoulof,2,2,99,99,99,99,99,99,99,99,
kafa,kaveh farnam,2,2,99,99,99,99,99,99,99,99,
fapa,farzad pak,2,2,99,99,99,99,99,99,99,99,
CoFi,cosmopol film,3,99,99,99,99,99,99,99,deu,99,
EuMeNe,europe media nest,3,99,99,99,99,99,99,99,tsc,99,
FiInIr,filminiran,3,99,99,99,99,99,99,99,ira,99,
Syn,synonymes,1,99,99,1,99,99,99,2019,fraisrdeu,1,
sasa,said ben said,2,2,99,99,99,99,99,99,99,99,
mime,michel merkt,2,2,99,99,99,99,99,99,99,99,
oske,osnat handelsman keren,2,1,99,99,99,99,99,99,99,99,
takl,talia kleinhendler,2,1,99,99,99,99,99,99,99,99,
jaja,janine jackowski,2,1,99,99,99,99,99,99,99,99,
jodo,jonas dornbach,2,2,99,99,99,99,99,99,99,99,
maad,maren ade,2,1,99,99,99,99,99,99,99,99,
olpe,olivier pere,2,2,99,99,99,99,99,99,99,99,
rebu,remi burah,2,2,99,99,99,99,99,99,99,99,
SbFi,sbs films,3,99,99,99,99,99,99,99,fra,99,
KoFi,komplizen film,3,99,99,99,99,99,99,99,deu,99,
PiFi,pie films,3,99,99,99,99,99,99,99,isr,99,
AiAuCiDuMo,aide aux cinemas du monde,4,99,99,99,99,99,99,99,fra,99,
DeFö,deutsch-französische förderkommission,4,99,99,99,99,99,99,99,deufra,99,
TheF,the favourite,1,99,99,99,99,1,99,2019,irlbriusa,1,
Ar,arcana,3,99,99,99,99,99,99,99,usa,99,
ScFi,scarlet films,3,99,99,99,99,99,99,99,bri,99,
WaEn,waypoint entertainment,3,99,99,99,99,99,99,99,usa,99,
cede,ceci dempsey,2,1,99,99,99,99,99,99,99,99,
lema,lee magiday,2,2,99,99,99,99,99,99,99,99,
jese,jennifer semler,1,1,99,99,99,99,99,99,99,99,
IrFiBo,irish film board,4,99,99,99,99,99,99,99,irl,99,
MoFiHaSc,moin filmförderung hamurg schleswig-holstein,4,99,99,99,99,99,99,99,deu,99,
CeNaDuCiEtDeLiAn,centre national du cinema et de lImage animee ,4,99,99,99,99,99,99,99,fra,99,
edgu,ed guiney,2,2,99,99,99,99,99,99,99,99,
yola,yorgos lanthimos,2,2,99,99,99,99,99,99,99,99,
FiPr,film4 productions,3,99,99,99,99,99,99,99,bri,99,
ElPi,element pictures,3,99,99,99,99,99,99,99,usa,99,