from,to,relation
jutr,Ana,1
FrCi,Ana,1
LesFi,Ana,1
LesFil,Ana,1
PlPi,Ana,1
DeDe,Ana,2
ReAu,Ana,2
ReNo,Ana,2
CeNa,Ana,2
malu,dath,3
dath,malu,3
dath,Ana,1
malu,Ana,1
dath,jutr,3
malu,jutr,3
jutr,dath,3
jutr,malu,3
DeDe,FrCi,2
ReAu,LesFi,2
ReNo,LesFil,2
CeNa,PlPi,2
FrCi,malu,3
LesFi,malu,3
LesFil,malu,3
PlPi,malu,3
FrCi,dath,3
LesFi,dath,3
LesFil,dath,3
PlPi,dath,3
malu,FrCi,3
malu,LesFi,3
malu,LesFil,3
malu,PlPi,3
dath,FrCi,3
dath,LesFi,3
dath,LesFil,3
dath,PlPi,3
niph,Sur,1
TsPr,Sur,1
CeNa,Sur,2
FiPa,Sur,2
celo,Sur,1
gisa,Sur,1
mipo,Sur,1
celo,gisa,3
celo,mipo,3
gisa,mipo,3
gisa,celo,3
mipo,celo,3
mipo,gisa,3
niph,celo,3
niph,gisa,3
niph,mipo,3
celo,niph,3
mipo,niph,3
gisa,niph,3
CeNa,TsPr,2
FiPa,TsPr,2
TsPr,celo,3
TsPr,mipo,3
TsPr,gisa,3
celo,TsPr,3
mipo,TsPr,3
gisa,TsPr,3
yola,Poo,1
edgu,Poo,1
emst,Poo,1
anlo,Poo,1
yola,edgu,3
edgu,yola,3
yola,emst,3
emst,yola,3
yola,anlo,3
anlo,yola,3
edgu,emst,3
edgu,anlo,3
emst,edgu,3
emst,anlo,3
anlo,edgu,3
anlo,emst,3
ElPi,Poo,1
FrTr,Poo,1
SePi,Poo,1
TsEn,Poo,1
FiPr,Poo,1
ElPi,FrTr,3
ElPi,SePi,3
ElPi,TsEn,3
ElPi,FiPr,3
FrTr,SePi,3
FrTr,TsEn,3
FrTr,FiPr,3
FrTr,ElPi,3
SePi,TsEn,3
SePi,ElPi,3
SePi,FrTr,3
SePi,FiPr,3
TsEn,ElPi,3
TsEn,FrTr,3
TsEn,FiPr,3
TsEn,SePi,3
FiPr,SePi,3
FiPr,FrTr,3
FiPr,ElPi,3
FiPr,TsEn,3
emst,ElPi,3
emst,FrTr,3
emst,SePi,3
emst,FiPr,3
emst,TsEn,3
edgu,ElPi,3
edgu,FrTr,3
edgu,SePi,3
edgu,FiPr,3
edgu,TsEn,3
anlo,ElPi,3
anlo,FrTr,3
anlo,SePi,3
anlo,FiPr,3
anlo,TsEn,3
ElPi,emst,3
FrTr,emst,3
SePi,emst,3
FiPr,emst,3
TsEn,emst,3
ElPi,edgu,3
FrTr,edgu,3
SePi,edgu,3
FiPr,edgu,3
TsEn,edgu,3
ElPi,anlo,3
FrTr,anlo,3
SePi,anlo,3
FiPr,anlo,3
TsEn,anlo,3