id,name,category,sex,palme dor,goldener bär,leone doro,felix,pardo doro,year,nationality,funding,korrigiert
TheF,the favourite,1,99,99,99,99,1,99,2019,irlbriusa,1,x
Ar,arcana,3,99,99,99,99,99,99,99,usa,99,
ScFi,scarlet films,3,99,99,99,99,99,99,99,bri,99,
WaEn,waypoint entertainment,3,99,99,99,99,99,99,99,usa,99,
cede,ceci dempsey,2,1,99,99,99,99,99,99,99,99,
lema,lee magiday,2,2,99,99,99,99,99,99,99,99,
jese,jennifer semler,2,1,99,99,99,99,99,99,99,99,
IrFiBo,irish film board,4,99,99,99,99,99,99,99,irl,99,
FiPr,film4 productions,3,99,99,99,99,99,99,99,bri,99,
ElPi,element pictures,3,99,99,99,99,99,99,99,usa,99,
BrFiIn,british film institute,4,99,99,99,99,99,99,99,bri,99,
edgu,ed guiney,2,2,99,99,99,99,99,99,99,99,
yola,yorgos lanthimos,2,2,99,99,99,99,99,99,99,99,