,,,,,,,,,,,,
,,,,,,,,,,,,
Wert,Kommentar,,,,,,,,,,,
edgelist,Grundregel: Die Edgelist darf pro Spalte immer nur einen Wert enthalten. Bis auf die ID idealerweise numerisch codiert (als Zahl).,,,,,,,,,,,
Arbeit an (relation=1),,,,,,,,,,,,
from,"Produzent, Produktionsfirma",,,,,,,,,,,
to ,Film,,,,,,,,,,,
Geldstrom (z.B. Förderung) (relation=2),,,,,,,,,,,,
from,Förderung,,,,,,,,,,,
to ,Film und zu Produktionsfirma,,,,,,,,,,,
"Zusammenarbeit (reziprok, wird zweimal eingetragen) (relation=3) im Projekt und in Kontakt miteinander",,,,,,,,,,,,
from,Produzent des jeweiligen Films untereinander,,,,,,,,,,,
to ,Produzent des jeweiligen Films untereinander,,,,,,,,,,,
from,"Produzent, Produktionsfirma (Vorsicht vor falschem Auswerten später -> wir wissen nicht wirklich ob jeder Produzent mit jeder Produktionsfirma zusammenarbeitet) ",,,,,,,,,,,
to ,"Produktionsfirma, Produzent",,,,,,,,,,,
,,,,,,,,,,,,
Reihenfolge erheben,,,,,,,,,,,,
,z.B: Produktionsfirma zu Film,,,,,,,,,,,
nodelist,Grundregel: die IDs der Nodelist müssen mit den IDs der Edgelist komplett übereinstimmen. Ausprägungen der Attribute in der Regel numerisch definieren.,,,,,,,,,,,
id,"Institutionen (hier wird Groß- und Kleinschreibung beachtet): production company, die ersten zwei Buchstaben der jeweiligen Wörter; Filme, die ersten drei Buchstaben vom ersten Wort; bei Artikeln noch den ersten Buchstaben vom nächsten Wort mitnehmen, Sonderzeichen ignorieren; funding, die ersten zwei Buchstaben der jeweiligen Wörter; fundation, die ersten zwei Buchstaben der jeweiligen Wörter. Ausnahme: Bei 4 1/2 film as haben wir das mit 41FiAs abgekürzt wegen des Schrägstriches. ",,,,,,,,,,,
,natürliche Personen( hier wird alles klein geschrieben): Producer jeweils die ersten zwei Anfangsbuchstaben der Vor- und Nachnamen (Mittelnamen und Doppelnamen werden weggelassen; directors: die ersten zwei Anfangsbuchstaben der Vor- und Nachnamen (Mittelnamen und Doppelnamen werden weggelassen,,,,,,,,,,,
Ausnahme,"bei Filmtiteln mit ""I..."": dann I großgeschrieben und die ersten 3 Buchstaben des darauffolgenden Wortes normale Filmregel, also I Daniel Blake --> IDan ",,,,,,,,,,,
,BBC Films --> BbcFi,,,,,,,,,,,
,"Doppelung der Id ""EsFi"", deshalb esquina films weiterhin als EsFi und essential filmproduktion als EsFiPr",,,,,,,,,,,
,"OpFil für Opus Films, da id OpFi schon vorhanden",,,,,,,,,,,
,"MeFil für Medusa Films, da MeFi schon vorhanden",,,,,,,,,,,
,"jesey für jerome seydoux, weil id jese schon vorhanden",,,,,,,,,,,
,"pafil für pathe films, da id pafi bereits vorhanden",,,,,,,,,,,
name,Name/ Film/Produktionsfirma in Kleinbuchstaben,,,,,,,,,,,
NA,definiert fehlende Werte,,,,,,,,,,,
category,,,,,,,,,,,,
,,,,,,,,,,,,
1,Film,,,,,,,,,,,
2,"Produzent*innen (ohne executive und ohne line producer, aber mit coproducer)",,,,,,,,,,,
3,"Produktionsfirma (immer die ersten Buchstaben des jeweiligen Wortes (von jedem Wort des Namens; wenn nur ein Wort, dann nur ein Buchstabe; Zahlen werden wie der erste Buchstabe gewertet, dürfen aber nicht alleine stehen); bei Doppelungen vom ersten Wort nochmal den zweiten Buchstaben vom ersten Wort) nur Produktionsfirmen; dazu zählt auch z.B. Mattel Films weil sie selber produzieren, Firmen wie Nintendo, die sonst nicht selbst produzieren, fallen raus)",,,,,,,,,,,
4,Filmförderung,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
sex,,,,,,,,,,,,
1,weiblich,,,,,,,,,,,
2,männlich,,,,,,,,,,,
3,divers,,,,,,,,,,,
99,"wenn nur Produktion (o. Produktionsfirma, Förderung oder Preis)",,,,,,,,,,,
palme dor,,,,,,,,,,,,
1,gewonnen,,,,,,,,,,,
2,nominiert ,,,,,,,,,,,
99,für diese Kategorie nicht nominiert,,,,,,,,,,,
goldener bär,,,,,,,,,,,,
1,gewonnen,,,,,,,,,,,
2,nominiert ,,,,,,,,,,,
99,für diese Kategorie nicht nominiert,,,,,,,,,,,
leone doro,,,,,,,,,,,,
1,gewonnen,,,,,,,,,,,
2,nominiert ,,,,,,,,,,,
99,für diese Kategorie nicht nominiert,,,,,,,,,,,
felix,,,,,,,,,,,,
1,gewonnen,,,,,,,,,,,
2,nominiert ,,,,,,,,,,,
99,für diese Kategorie nicht nominiert,,,,,,,,,,,
pardo doro,,,,,,,,,,,,
1,gewonnen,,,,,,,,,,,
2,nominiert ,,,,,,,,,,,
99,für diese Kategorie nicht nominiert,,,,,,,,,,,
,,,,,,,,,,,,
year,Jahr der Preisverleihung ,,,,,,,,,,,
99,"bei allen nodes, die keine Filme sind",,,,,,,,,,,
nationality,"Nationaliät vom Film, Produktionsfirma und Filmförderung (immer die ersten drei Buchstaben, Kooperationen oder andere Zusammenarbeit der Länder mit jeweils den ersten drei Buchstaben z.B. deuame für deutsch-amerikanisch (erfassen wir in deutscher Sprache), bei keinem Wert: 99)",,,,,,,,,,,
Ausnahmen,"bri für UK, schd für schweden und schz für schweiz, südkor für südkorea",,,,,,,,,,,
,,,,,,,,,,,,
funding,"Art der Filmförderung, codiert für Filme ",,,,,,,,,,,
1,Förderung vorhanden,,,,,,,,,,,
2,keine Förderungen / independent movies/Keine Informationen über Filmförderung gefunden,,,,,,,,,,,
99,"für alle nodes, die keine Filme oder Förderungen sind",,,,,,,,,,,
Allgemeines zum Netzwerk,,,,,,,,,,,,
,es handelt sich um ein gerichtetes two-mode NW,,,,,,,,,,,
,"jede von uns übernimmt einen Preis, jeweils von 2013 bis 2023 (also 11 Filme pro Person)",,,,,,,,,,,
,"die Filme werden nach ""bester Film"" in der jeweiligen Preisverleihung ausgesucht",,,,,,,,,,,
,"in der ersten Phase werden 5 (2019 bis 2023) erhoben, in der zweiten werden 6 erhoben",,,,,,,,,,,
Zuständigkeiten,,,,,,,,,,,,
Tabea,felix,,,,,,,,,,,
Emma,pardo doro,,,,,,,,,,,
Alice,palme dor,,,,,,,,,,,
Aylin,goldener bär,,,,,,,,,,,
Kim,leone doro,Poor Things (2023),All the Beauty and the Bloodshed,L’événement,Nomadsland,Joker,Roma,The Shape of Water,Ang Babaeng Humayo,desde alla,en duva satt pa en gren och funderade pa tillvaron,Sacro GRA
,"Anmerkungen für mich: Bei dem Film ""L’événement"" habe ich die beiden Filmförderungen ""Film Paris Region"" und ""centre national du cinema et de lImage animee (CNC)"" nicht in der Nodelist eingefügt, weil sie bereits vorhanden waren. Das gleiche bei Nomadsland -> Searchlight Pictures als Produktionsfirma. ",,,,,,,,,,,
,Anmerkungen Teil 2: Bei Roma war die Firma PaMe schon drin. Bei The Shape of Water war SePi schon drin. Bei Ang Babaeng Humayo war SiOlPi und Lav Diaz schon drin. Bei En duva satt på en gren och funderade på tillvaron war EsFiPr und CeNaDuCiEtDeLiAn und CoOf und ArFrCi und SvTeAb und Eu und SwFiIn und FiMeNr schon drin. Bei Sacro GRA war CeNaDuCiEtDeLiAn schon drin ,,,,,,,,,,,